project_name,count
AaronWard$covidify,4
BachiLi$redner,16
BindsNET$bindsnet,3
BrikerMan$Kashgari,4
CLUEbenchmark$CLUE,15
ConvLab$ConvLab,9
DLR-RM$stable-baselines3,8
EdinburghNLP$nematus,3
EpistasisLab$tpot,9
FederatedAI$FATE,61
FunctionLab$selene,1
GRAAL-Research$poutyne,4
GoogleCloudPlatform$ml-on-gcp,9
GoogleCloudPlatform$python-docs-samples,7
GoogleCloudPlatform$training-data-analyst,80
Ha0Tang$AttentionGAN,6
IBM$AIF360,92
IBM$AIX360,65
IBM$adversarial-robustness-toolbox,18
KaiyangZhou$deep-person-reid,1
MarcSkovMadsen$awesome-streamlit,39
MegviiDetection$video_analyst,5
MisaOgura$flashtorch,1
MrGiovanni$ModelsGenesis,1
NVIDIA$DeepLearningExamples,851
NVIDIA$Megatron-LM,8
NVIDIA$NeMo,142
NVIDIA$TRTorch,3
NervanaSystems$distiller,21
NervanaSystems$nlp-architect,21
OpenMined$PySyft,11
OpenNMT$OpenNMT-py,2
OpenNMT$OpenNMT-tf,23
PaddlePaddle$PARL,1
PaddlePaddle$models,5
PreferredAI$cornac,2
Project-MONAI$MONAI,3
PyTorchLightning$pytorch-lightning,20
Qiskit$qiskit-aqua,1
ROCmSoftwarePlatform$tensorflow-upstream,19
RTIInternational$gobbli,41
SeldonIO$alibi,6
SeldonIO$seldon-core,5
StanfordVL$MinkowskiEngine,1
THUDM$cogdl,52
TheAlgorithms$Python,1
UKPLab$sentence-transformers,2
Unity-Technologies$ml-agents,3
Xilinx$brevitas,5
YosefLab$scVI,57
allegroai$trains,43
allenai$allennlp,1
alvinwan$neural-backed-decision-trees,2
amaiya$ktrain,9
apache$beam,19
apachecn$Interview,25
apple$turicreate,13
arviz-devs$arviz,4
asappresearch$flambe,2
asappresearch$sru,5
autorope$donkeycar,16
awslabs$amazon-sagemaker-examples,126
bhoov$exbert,26
catalyst-team$catalyst,17
cgre-aachen$gempy,81
cisco$mindmeld,8
commaai$openpilot,1
cornellius-gp$gpytorch,11
creme-ml$creme,30
danielegrattarola$spektral,2
ddbourgin$numpy-ml,44
deepchem$deepchem,34
deepmedic$deepmedic,3
deepmind$open_spiel,12
deepmind$sonnet,90
deepmipt$DeepPavlov,2
deepset-ai$FARM,5
deezer$spleeter,5
determined-ai$determined,21
dmlc$dgl,39
ethen8181$machine-learning,8
f-dangel$backpack,4
facebookresearch$ClassyVision,2
facebookresearch$CrypTen,23
facebookresearch$ParlAI,58
facebookresearch$ReAgent,5
facebookresearch$habitat-api,3
facebookresearch$mmf,4
facebookresearch$nevergrad,14
facebookresearch$pyrobot,4
facebookresearch$pytext,10
facebookresearch$vilbert-multi-task,7
fastnlp$fastNLP,11
feast-dev$feast,125
feedly$transfer-nlp,34
flairNLP$flair,13
flow-project$flow,1
freewym$espresso,24
geomstats$geomstats,11
geoopt$geoopt,2
google$automl,65
google$flax,3
google$tf-quant-finance,195
google-research$meta-dataset,2
google-research$tensor2robot,1
google-research$text-to-text-transfer-transformer,35
graknlabs$kglib,1
guildai$guildai,11
heartexlabs$label-studio,2
huggingface$transformers,112
hunglc007$tensorflow-yolov4-tflite,2
interpretml$DiCE,34
ironmussa$Optimus,7
jeongyoonlee$Kaggler,12
joeynmt$joeynmt,1
jrzaurin$pytorch-widedeep,13
junyanz$pytorch-CycleGAN-and-pix2pix,4
kakaobrain$torchgpipe,12
kaushaltrivedi$fast-bert,30
keras-team$autokeras,10
kermitt2$delft,5
keunwoochoi$kapre,2
koaning$scikit-lego,26
kornia$kornia,1
kubeflow$fairing,1
kubeflow$katib,2
kubeflow$kfserving,11
kubeflow$pipelines,32
kwotsin$mimicry,18
l3p-cv$lost,23
lab-ml$labml,2
learnables$learn2learn,8
leela-zero$leela-zero,1
lucidrains$reformer-pytorch,3
lukemelas$EfficientNet-PyTorch,1
magenta$magenta,6
masa-su$pixyz,3
medipixel$rl_algorithms,2
microsoft$DeepSpeed,6
microsoft$EdgeML,16
microsoft$forecasting,30
microsoft$hummingbird,15
microsoft$nni,35
milvus-io$bootcamp,3
mindsdb$mindsdb,294
mlflow$mlflow,149
mljar$mljar-supervised,62
molecularsets$moses,11
mozilla$DeepSpeech,24
mozilla$TTS,3
mozilla$bugbug,3
mpariente$asteroid,46
nicolas-chaulet$torch-points3d,17
nussl$nussl,6
nutonomy$nuscenes-devkit,2
nyu-mll$jiant,17
onnx$onnx-tensorflow,20
onnx$onnxmltools,14
open-mmlab$mmdetection,6
opencv$openvino_training_extensions,8
openvinotoolkit$openvino,9
ottogroup$palladium,7
pgmpy$pgmpy,16
pymc-devs$pymc3,4
pyprob$pyprob,1
pyro-ppl$pyro,17
pytorch$audio,11
pytorch$botorch,71
pytorch$captum,2
pytorch$fairseq,27
pytorch$ignite,13
pytorch$serve,10
quantumblacklabs$kedro,7
quantumlib$Cirq,20
ray-project$ray,123
ria-com$nomeroff-net,9
rlworkgroup$garage,2
rusty1s$pytorch_geometric,75
rwightman$pytorch-image-models,3
rwth-i6$returnn,1
scikit-learn-contrib$imbalanced-learn,18
serengil$deepface,4
shibing624$pycorrector,12
slundberg$shap,52
snipsco$tract,2
snorkel-team$snorkel,4
sql-machine-learning$elasticdl,2
stanfordnlp$stanza,5
stellargraph$stellargraph,40
stephenhky$PyShortTextCategorization,2
streamlit$streamlit,2
taehoonlee$tensornets,1
tensorflow$addons,23
tensorflow$cleverhans,6
tensorflow$compression,5
tensorflow$data-validation,33
tensorflow$federated,2
