project_name,columns_and_datatype_not_explicitly_set,dataframe_conversion_api_misused,gradients_not_cleared_before_backward_propagation,in_place_apis_misused,memory_not_freed,merge_api_parameter_not_explicitly_set,nan_equivalence_comparison_misused,pytorch_call_method_misused,tensor_array_not_used,unnecessary_iteration
AaronWard$covidify,4,0,0,0,0,0,0,0,0,0
BachiLi$redner,0,0,1,0,0,0,0,0,15,0
BindsNET$bindsnet,3,0,0,0,0,0,0,0,0,0
BrikerMan$Kashgari,4,0,0,0,0,0,0,0,0,0
CLUEbenchmark$CLUE,0,0,8,0,0,0,0,0,7,0
ConvLab$ConvLab,2,0,0,0,0,0,1,6,0,0
DLR-RM$stable-baselines3,4,0,0,4,0,0,0,0,0,0
EdinburghNLP$nematus,0,0,0,0,0,0,0,0,3,0
EpistasisLab$tpot,1,0,0,8,0,0,0,0,0,0
FederatedAI$FATE,53,6,0,0,0,0,0,2,0,0
FunctionLab$selene,1,0,0,0,0,0,0,0,0,0
GRAAL-Research$poutyne,4,0,0,0,0,0,0,0,0,0
GoogleCloudPlatform$ml-on-gcp,8,0,0,1,0,0,0,0,0,0
GoogleCloudPlatform$python-docs-samples,3,0,0,4,0,0,0,0,0,0
GoogleCloudPlatform$training-data-analyst,31,2,0,45,0,1,0,0,1,0
Ha0Tang$AttentionGAN,0,0,2,0,0,0,0,4,0,0
IBM$AIF360,86,1,0,5,0,0,0,0,0,0
IBM$AIX360,48,4,0,11,0,0,0,2,0,0
IBM$adversarial-robustness-toolbox,2,0,5,0,0,0,0,10,1,0
KaiyangZhou$deep-person-reid,1,0,0,0,0,0,0,0,0,0
MarcSkovMadsen$awesome-streamlit,37,0,0,1,0,1,0,0,0,0
MegviiDetection$video_analyst,5,0,0,0,0,0,0,0,0,0
MisaOgura$flashtorch,0,0,1,0,0,0,0,0,0,0
MrGiovanni$ModelsGenesis,1,0,0,0,0,0,0,0,0,0
NVIDIA$DeepLearningExamples,105,17,38,18,0,4,0,6,663,0
NVIDIA$Megatron-LM,0,0,8,0,0,0,0,0,0,0
NVIDIA$NeMo,27,0,0,0,0,3,0,112,0,0
NVIDIA$TRTorch,2,0,0,1,0,0,0,0,0,0
NervanaSystems$distiller,19,0,0,2,0,0,0,0,0,0
NervanaSystems$nlp-architect,17,0,4,0,0,0,0,0,0,0
OpenMined$PySyft,9,0,0,2,0,0,0,0,0,0
OpenNMT$OpenNMT-py,2,0,0,0,0,0,0,0,0,0
OpenNMT$OpenNMT-tf,0,0,0,0,0,0,0,0,23,0
PaddlePaddle$PARL,0,0,0,0,0,0,0,1,0,0
PaddlePaddle$models,2,0,3,0,0,0,0,0,0,0
PreferredAI$cornac,0,0,2,0,0,0,0,0,0,0
Project-MONAI$MONAI,0,0,2,1,0,0,0,0,0,0
PyTorchLightning$pytorch-lightning,6,0,3,0,0,0,0,11,0,0
Qiskit$qiskit-aqua,1,0,0,0,0,0,0,0,0,0
ROCmSoftwarePlatform$tensorflow-upstream,1,0,0,1,0,0,0,0,17,0
RTIInternational$gobbli,37,1,2,0,0,0,0,0,1,0
SeldonIO$alibi,4,0,0,0,0,0,0,2,0,0
SeldonIO$seldon-core,5,0,0,0,0,0,0,0,0,0
StanfordVL$MinkowskiEngine,0,0,1,0,0,0,0,0,0,0
THUDM$cogdl,13,0,0,10,0,0,0,29,0,0
TheAlgorithms$Python,1,0,0,0,0,0,0,0,0,0
