project_name,count
GoogleCloudPlatform$tensorflow-without-a-phd,8
Ha0Tang$GestureGAN,3
Ha0Tang$SelectionGAN,11
JayYip$bert-multitask-learning,2
KevinMusgrave$powerful-benchmarker,16
LPDI-EPFL$masif,2
RexYing$gnn-model-explainer,7
SpursLipu$YOLOv3-ModelCompression-MultidatasetTraining-Multibackbone,4
Tianxiaomo$pytorch-YOLOv4,2
adobe$antialiased-cnns,1
aisolab$nlp_classification,10
alibaba$ai-matrix,62
biolib$openprotein,1
carefree0910$MachineLearning,1
colearninglounge$co-learning-lounge,1
data-science-on-aws$workshop,172
drscotthawley$panotti,1
dsgiitr$d2l-pytorch,2
dwadden$dygiepp,7
eladhoffer$convNet.pytorch,6
firmai$datagene,26
gjy3035$C-3-Framework,7
hastagAB$Awesome-Python-Scripts,5
hunkim$DeepLearningZeroToAll,2
huseinzol05$NLP-Models-Tensorflow,2
hysts$pytorch_image_classification,2
jaakkopasanen$AutoEq,6
jantic$DeOldify,4
kdexd$virtex,4
knazeri$edge-connect,10
loujie0822$DeepIE,78
lukas$ml-class,22
maelfabien$Multimodal-Emotion-Recognition,18
malllabiisc$RESIDE,2
mdeff$fma,9
microsoft$ai-edu,4
mlperf$inference,34
mlperf$training,22
mravanelli$pytorch-kaldi,1
natethegreate$hent-AI,3
opencv$open_model_zoo,2
osmr$imgclsmob,132
philipperemy$deep-speaker,1
philipperemy$keras-tcn,1
priya-dwivedi$Deep-Learning,956
pytorch$examples,14
pytorch$tutorials,9
quantumiracle$SOTA-RL-Algorithms,64
r9y9$nnsvs,6
rail-berkeley$softlearning,2
richzhang$colorization-pytorch,2
robertness$causalML,7
santi-pdp$pase,4
snap-stanford$ogb,72
songlab-cal$tape,1
spmallick$learnopencv,28
swechhachoudhary$Handwriting-synthesis,4
tensorflow$examples,48
tensorflow$models,1634
thunlp$OpenNRE,9
tirthajyoti$Machine-Learning-with-Python,2
vwxyzjn$cleanrl,3
wandb$examples,2
wjmaddox$swa_gaussian,3
wubinzzu$NeuRec,20
x4nth055$pythoncode-tutorials,9
