project_name,columns_and_datatype_not_explicitly_set,dataframe_conversion_api_misused,gradients_not_cleared_before_backward_propagation,in_place_apis_misused,merge_api_parameter_not_explicitly_set,pytorch_call_method_misused,tensor_array_not_used
GoogleCloudPlatform$tensorflow-without-a-phd,0,0,0,0,0,0,8
Ha0Tang$GestureGAN,0,0,0,0,0,3,0
Ha0Tang$SelectionGAN,6,0,0,0,0,5,0
JayYip$bert-multitask-learning,2,0,0,0,0,0,0
KevinMusgrave$powerful-benchmarker,12,0,0,2,2,0,0
LPDI-EPFL$masif,2,0,0,0,0,0,0
RexYing$gnn-model-explainer,4,3,0,0,0,0,0
SpursLipu$YOLOv3-ModelCompression-MultidatasetTraining-Multibackbone,0,0,4,0,0,0,0
Tianxiaomo$pytorch-YOLOv4,0,0,2,0,0,0,0
adobe$antialiased-cnns,0,0,1,0,0,0,0
aisolab$nlp_classification,10,0,0,0,0,0,0
alibaba$ai-matrix,19,0,16,1,0,0,26
biolib$openprotein,0,0,1,0,0,0,0
carefree0910$MachineLearning,0,0,1,0,0,0,0
colearninglounge$co-learning-lounge,0,0,1,0,0,0,0
data-science-on-aws$workshop,72,0,18,28,5,0,49
drscotthawley$panotti,1,0,0,0,0,0,0
dsgiitr$d2l-pytorch,0,0,2,0,0,0,0
dwadden$dygiepp,5,0,0,2,0,0,0
eladhoffer$convNet.pytorch,1,0,2,0,0,3,0
firmai$datagene,19,0,0,6,1,0,0
gjy3035$C-3-Framework,7,0,0,0,0,0,0
hastagAB$Awesome-Python-Scripts,3,1,0,1,0,0,0
hunkim$DeepLearningZeroToAll,0,0,0,0,0,2,0
huseinzol05$NLP-Models-Tensorflow,0,0,0,0,0,0,2
hysts$pytorch_image_classification,0,0,2,0,0,0,0
jaakkopasanen$AutoEq,6,0,0,0,0,0,0
jantic$DeOldify,2,0,1,1,0,0,0
kdexd$virtex,0,0,0,0,0,4,0
knazeri$edge-connect,0,0,10,0,0,0,0
loujie0822$DeepIE,0,0,4,0,0,74,0
lukas$ml-class,18,4,0,0,0,0,0
maelfabien$Multimodal-Emotion-Recognition,14,0,0,4,0,0,0
malllabiisc$RESIDE,0,0,0,0,0,0,2
mdeff$fma,8,0,0,1,0,0,0
microsoft$ai-edu,4,0,0,0,0,0,0
mlperf$inference,10,0,0,7,2,0,15
mlperf$training,3,0,15,0,0,0,4
mravanelli$pytorch-kaldi,0,0,1,0,0,0,0
natethegreate$hent-AI,0,0,0,0,0,0,3
opencv$open_model_zoo,2,0,0,0,0,0,0
osmr$imgclsmob,5,0,122,5,0,0,0
philipperemy$deep-speaker,0,0,0,1,0,0,0
philipperemy$keras-tcn,1,0,0,0,0,0,0
priya-dwivedi$Deep-Learning,6,0,20,0,0,0,930
pytorch$examples,0,0,10,0,0,4,0
pytorch$tutorials,3,0,6,0,0,0,0
quantumiracle$SOTA-RL-Algorithms,0,0,0,0,0,64,0
r9y9$nnsvs,1,0,0,0,0,5,0
rail-berkeley$softlearning,1,0,0,0,0,0,1
richzhang$colorization-pytorch,0,0,0,0,0,2,0
robertness$causalML,6,0,0,0,0,1,0
santi-pdp$pase,0,0,3,0,0,1,0
snap-stanford$ogb,70,0,1,1,0,0,0
songlab-cal$tape,0,0,1,0,0,0,0
spmallick$learnopencv,13,5,4,2,0,4,0
swechhachoudhary$Handwriting-synthesis,0,0,0,0,0,4,0
tensorflow$examples,6,0,0,0,0,0,42
tensorflow$models,25,0,0,1,1,0,1607
thunlp$OpenNRE,0,0,6,0,0,3,0
tirthajyoti$Machine-Learning-with-Python,2,0,0,0,0,0,0
vwxyzjn$cleanrl,3,0,0,0,0,0,0
wandb$examples,1,0,0,1,0,0,0
wjmaddox$swa_gaussian,0,0,3,0,0,0,0
wubinzzu$NeuRec,12,1,0,0,0,0,7
x4nth055$pythoncode-tutorials,7,0,0,2,0,0,0
